fighter_a,fighter_b,event_date,target,elo_diff,elo_momentum_diff,height_diff,reach_diff,age_diff,slpm_diff,str_acc_diff,str_def_diff,td_avg_diff,td_acc_diff,td_def_diff,sub_avg_diff,days_since_last_diff,fight_rate_diff,opp_quality_diff,finish_rate_diff,ko_rate_diff,sub_rate_diff,win_streak_diff,kd_diff,same_stance,stance_?_vs_?,wc_Bantamweight,wc_Catch Weight,wc_Featherweight,wc_Flyweight,wc_Heavyweight,wc_Light Heavyweight,wc_Lightweight,wc_Middleweight,wc_Open Weight,wc_Super Heavyweight,wc_Welterweight,wc_Women's Bantamweight,wc_Women's Featherweight,wc_Women's Flyweight,wc_Women's Strawweight
Anthony Johnson,Tommy Speer,"April 02, 2008",1.0,17.303912413482294,0.0,0,0,0,0,0,0,0,0,0,0,77,-0.6724357101110461,6.531299064539326,1.0,0.0,1.0,1,10.0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Josh Neer,Din Thomas,"April 02, 2008",1.0,50.476825728456106,-0.41319603132819793,0,0,0,0,0,0,0,0,0,0,389,0.6992568676328745,31.08083492502874,-0.5,-0.5,0.0,0,0.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Marcus Aurelio,Ryan Roberts,"April 02, 2008",0.0,32.604460670687104,0.0,0,0,0,0,0,0,0,0,0,0,137,3.3054298642533935,14.90171110258143,0.5,0.5,0.0,2,-10.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Manvel Gamburyan,Jeff Cox,"April 02, 2008",0.0,-48.72975013186124,0.0,0,0,0,0,0,0,0,0,0,0,-200,1.33404750537121,-16.210722066999324,-1.0,0.0,-1.0,-1,0.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Clay Guida,Samy Schiavo,"April 02, 2008",0.0,-16.02309837699977,-14.458164937155061,0,0,0,0,0,0,0,0,0,0,116,3.4071828358208953,-1.10091521818822,0.0,0.0,0.0,0,0.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
George Sotiropoulos,Roman Mitichyan,"April 02, 2008",0.0,-32.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-1.0,0.0,-1.0,-1,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
James Irvin,Houston Alexander,"April 02, 2008",1.0,-133.9130822043196,-85.36499527322576,0,0,0,0,0,0,0,0,0,0,-42,-1.6096754807692308,-6.1711360876722665,-1.0,-1.0,0.0,-3,10.0,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Georges St-Pierre,Matt Serra,"April 19, 2008",0.0,-29.840065935280336,11.583030143271344,0,0,0,0,0,0,0,0,0,0,-266,1.1720678318534337,34.2697603979957,0.4,0.4,0.0,0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Rich Franklin,Travis Lutter,"April 19, 2008",1.0,10.59400148594409,34.839015680235434,0,0,0,0,0,0,0,0,0,0,-259,0.7739897276867913,17.309697456138565,-0.19999999999999996,0.09999999999999998,-0.3,1,10.0,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Nate Quarry,Kalib Starnes,"April 19, 2008",1.0,13.37161311400564,-6.114181738394336,0,0,0,0,0,0,0,0,0,0,31,-0.5457718663747977,-4.232588930887687,0.0,0.0,0.0,0,0.0,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Michael Bisping,Charles McCarthy,"April 19, 2008",0.0,46.938237074973586,14.935590788723403,0,0,0,0,0,0,0,0,0,0,-371,2.0505263157894738,2.130852422814769,0.3333333333333333,0.3333333333333333,0.0,2,-10.0,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Mac Danzig,Mark Bocek,"April 19, 2008",1.0,-13.824612042890749,0.0,0,0,0,0,0,0,0,0,0,0,21,0.20094443425637243,16.049924075962736,0.5,-0.5,1.0,-1,10.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Jason MacDonald,Joe Doerksen,"April 19, 2008",1.0,2.734301274887457,1.9895602385452094,0,0,0,0,0,0,0,0,0,0,28,1.9127941249535052,12.187951092030062,0.0,-0.3333333333333333,0.3333333333333333,0,0.0,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Jason Day,Alan Belcher,"April 19, 2008",0.0,71.61651621537999,40.352972676565514,0,0,0,0,0,0,0,0,0,0,-182,-3.0336378737541527,-6.846727022428695,0.0,0.0,0.0,0,0.0,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Demian Maia,Ed Herman,"April 19, 2008",0.0,28.622622679316464,14.127355557799774,0,0,0,0,0,0,0,0,0,0,28,-0.7393724696356276,-9.538688980727784,-1.0,0.0,-1.0,0,0.0,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Rich Clementi,Sam Stout,"April 19, 2008",1.0,-30.014844033704094,-26.401251265190922,0,0,0,0,0,0,0,0,0,0,21,-0.7127542718911923,-12.93794760591004,0.6666666666666667,0.0,0.6666666666666667,1,0.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Cain Velasquez,Brad Morris,"April 19, 2008",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,-30.0,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Jonathan Goulet,Kuniyoshi Hironaka,"April 19, 2008",0.0,70.73133157900452,56.862442919491514,0,0,0,0,0,0,0,0,0,0,-80,0.37752342151723517,-24.592551263747964,-0.19999999999999996,-0.6,0.4,3,-21.0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
BJ Penn,Sean Sherk,"May 24, 2008",1.0,-39.08117297533681,15.389083891237306,0,0,0,0,0,0,0,0,0,0,-196,0.5969237034655615,28.761098392469194,0.20000000000000007,-0.2,0.39999999999999997,2,10.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
